t;sucrose_input_rate;soil_temperature
1010;1.26E-09;20
1011;1.26E-09;20
1012;1.27E-09;20
1013;1.27E-09;20
1014;1.27E-09;20
1015;1.27E-09;20
1016;1.27E-09;20
1017;1.28E-09;20
1018;1.28E-09;20
1019;1.28E-09;20
1020;1.28E-09;20
1021;1.29E-09;20
1022;1.29E-09;20
1023;1.29E-09;20
1024;1.29E-09;20
1025;1.29E-09;20
1026;1.30E-09;20
1027;1.30E-09;20
1028;1.30E-09;20
1029;1.30E-09;20
1030;1.30E-09;20
1031;1.31E-09;20
1032;1.31E-09;20
1033;1.31E-09;20
1034;1.31E-09;20
1035;1.31E-09;20
1036;1.31E-09;20
1037;1.32E-09;20
1038;1.32E-09;20
1039;1.32E-09;20
1040;1.32E-09;20
1041;1.32E-09;20
1042;1.33E-09;20
1043;1.33E-09;20
1044;1.33E-09;20
1045;1.33E-09;20
1046;1.33E-09;20
1047;1.33E-09;20
1048;1.33E-09;20
1049;1.34E-09;20
1050;1.34E-09;20
1051;1.34E-09;20
1052;1.34E-09;20
1053;1.34E-09;20
1054;1.34E-09;20
1055;1.34E-09;20
1056;1.34E-09;20
1057;1.35E-09;20
1058;1.35E-09;20
1059;1.35E-09;20
1060;1.35E-09;20
1061;1.35E-09;20
1062;1.35E-09;20
1063;1.35E-09;20
1064;1.36E-09;20
1065;1.36E-09;20
1066;1.36E-09;20
1067;1.36E-09;20
1068;1.36E-09;20
1069;1.37E-09;20
1070;1.37E-09;20
1071;1.37E-09;20
1072;1.37E-09;20
1073;1.37E-09;20
1074;1.37E-09;20
1075;1.38E-09;20
1076;1.38E-09;20
1077;1.38E-09;20
1078;1.38E-09;20
1079;1.38E-09;20
1080;1.38E-09;20
1081;1.38E-09;20
1082;1.38E-09;20
1083;1.38E-09;20
1084;1.38E-09;20
1085;1.38E-09;20
1086;1.39E-09;20
1087;1.39E-09;20
1088;1.39E-09;20
1089;1.39E-09;20
1090;1.39E-09;20
1091;1.39E-09;20
1092;1.39E-09;20
1093;1.39E-09;20
1094;1.39E-09;20
1095;1.39E-09;20
1096;1.39E-09;20
1097;1.39E-09;20
1098;1.40E-09;20
1099;1.40E-09;20
1100;1.40E-09;20
1101;1.40E-09;20
1102;1.40E-09;20
1103;1.40E-09;20
1104;1.40E-09;20
1105;1.40E-09;20
1106;1.40E-09;20
1107;1.41E-09;20
1108;1.41E-09;20
1109;1.41E-09;20
1110;1.41E-09;20
1111;1.41E-09;20
1112;1.41E-09;20
1113;1.41E-09;20
1114;1.41E-09;20
1115;1.41E-09;20
1116;1.41E-09;20
1117;1.41E-09;20
1118;1.41E-09;20
1119;1.41E-09;20
1120;1.42E-09;20
1121;1.42E-09;20
1122;1.42E-09;20
1123;1.42E-09;20
1124;1.42E-09;20
